Date, Time UTC +02:00;Day-ahead Price (EUR/MWh)
07-11-2023, 14 - 15; 113.94 
07-11-2023, 15 - 16; 99.73 
07-11-2023, 16 - 17; 109.62 
07-11-2023, 17 - 18; 132.87 
07-11-2023, 18 - 19; 144.74 
07-11-2023, 19 - 20; 98.22 
07-11-2023, 20 - 21; 84.79 
07-11-2023, 21 - 22; 80.86 
07-11-2023, 22 - 23; 62.20 
07-11-2023, 23 - 00; 47.40 
08-11-2023, 00 - 01; 39.91 
08-11-2023, 01 - 02; 37.38 
08-11-2023, 02 - 03; 35.96 
08-11-2023, 03 - 04; 35.28 
08-11-2023, 04 - 05; 37.04 
08-11-2023, 05 - 06; 45.53 
08-11-2023, 06 - 07; 75.15 
08-11-2023, 07 - 08; 85.93 
08-11-2023, 08 - 09; 101.87 
08-11-2023, 09 - 10; 90.73 
08-11-2023, 10 - 11; 82.73 
08-11-2023, 11 - 12; 78.85 
08-11-2023, 12 - 13; 75.71 
08-11-2023, 13 - 14; 76.08 
08-11-2023, 14 - 15; 80.57 
08-11-2023, 15 - 16; 80.48 
08-11-2023, 16 - 17; 82.77 
08-11-2023, 17 - 18; 84.99 
08-11-2023, 18 - 19; 78.51 
08-11-2023, 19 - 20; 72.63 
08-11-2023, 20 - 21; 59.25 
08-11-2023, 21 - 22; 51.07 
08-11-2023, 22 - 23; 39.90 
08-11-2023, 23 - 00; 30.68 
09-11-2023, 00 - 01; 33.27 
09-11-2023, 01 - 02; 29.42 
09-11-2023, 02 - 03; 27.23 
09-11-2023, 03 - 04; 25.58 
09-11-2023, 04 - 05; 29.99 
09-11-2023, 05 - 06; 70.01 
09-11-2023, 06 - 07; 109.61 
09-11-2023, 07 - 08; 120.06 
09-11-2023, 08 - 09; 121.67 
09-11-2023, 09 - 10; 109.65 
09-11-2023, 10 - 11; 100.08 
09-11-2023, 11 - 12; 97.34 
09-11-2023, 12 - 13; 109.81 
09-11-2023, 13 - 14; 128.42 
09-11-2023, 14 - 15; 98.22 
09-11-2023, 15 - 16; 65.84 
09-11-2023, 16 - 17; 92.01 
09-11-2023, 17 - 18; 94.40 
09-11-2023, 18 - 19; 93.42 
09-11-2023, 19 - 20; 84.79 
09-11-2023, 20 - 21; 38.93 
09-11-2023, 21 - 22; 37.13 
09-11-2023, 22 - 23; 33.18 
09-11-2023, 23 - 00; 28.46 
10-11-2023, 00 - 01; 27.78 
10-11-2023, 01 - 02; 25.02 
10-11-2023, 02 - 03; 23.71 
10-11-2023, 03 - 04; 22.76 
10-11-2023, 04 - 05; 22.48 
10-11-2023, 05 - 06; 24.97 
10-11-2023, 06 - 07; 30.00 
10-11-2023, 07 - 08; 62.75 
10-11-2023, 08 - 09; 81.64 
10-11-2023, 09 - 10; 80.17 
10-11-2023, 10 - 11; 79.06 
10-11-2023, 11 - 12; 78.02 
10-11-2023, 12 - 13; 70.00 
10-11-2023, 13 - 14; 52.09 
10-11-2023, 14 - 15; 45.00 
10-11-2023, 15 - 16; 60.97 
10-11-2023, 16 - 17; 43.03 
10-11-2023, 17 - 18; 43.03 
10-11-2023, 18 - 19; 33.51 
10-11-2023, 19 - 20; 27.88 
10-11-2023, 20 - 21; 24.81 
10-11-2023, 21 - 22; 22.72 
10-11-2023, 22 - 23; 22.02 
10-11-2023, 23 - 00; 19.46 
13-11-2023, 00 - 01; 34.98 
13-11-2023, 01 - 02; 34.91 
13-11-2023, 02 - 03; 35.01 
13-11-2023, 03 - 04; 35.89 
13-11-2023, 04 - 05; 39.05 
13-11-2023, 05 - 06; 42.77 
13-11-2023, 06 - 07; 83.46 
13-11-2023, 07 - 08; 95.40 
13-11-2023, 08 - 09; 119.23 
13-11-2023, 09 - 10; 122.25 
13-11-2023, 10 - 11; 115.41 
13-11-2023, 11 - 12; 97.69 
13-11-2023, 12 - 13; 90.07 
13-11-2023, 13 - 14; 89.81 
13-11-2023, 14 - 15; 83.92 
13-11-2023, 15 - 16; 80.13 
13-11-2023, 16 - 17; 78.67 
13-11-2023, 17 - 18; 80.29 
13-11-2023, 18 - 19; 80.00 
13-11-2023, 19 - 20; 73.36 
13-11-2023, 20 - 21; 46.56 
13-11-2023, 21 - 22; 42.96 
13-11-2023, 22 - 23; 37.31 
13-11-2023, 23 - 00; 30.01 
14-11-2023, 00 - 01; 36.81 
14-11-2023, 01 - 02; 38.09 
14-11-2023, 02 - 03; 37.69 
14-11-2023, 03 - 04; 36.37 
14-11-2023, 04 - 05; 44.62 
14-11-2023, 05 - 06; 80.01 
14-11-2023, 06 - 07; 135.00 
14-11-2023, 07 - 08; 124.08 
14-11-2023, 08 - 09; 124.05 
14-11-2023, 09 - 10; 124.04 
14-11-2023, 10 - 11; 135.03 
14-11-2023, 11 - 12; 150.07 
14-11-2023, 12 - 13; 150.06 
14-11-2023, 13 - 14; 93.19 
14-11-2023, 14 - 15; 115.51 
14-11-2023, 15 - 16; 124.06 
14-11-2023, 16 - 17; 135.02 
14-11-2023, 17 - 18; 124.03 
14-11-2023, 18 - 19; 124.02 
14-11-2023, 19 - 20; 116.51 
14-11-2023, 20 - 21; 99.15 
14-11-2023, 21 - 22; 88.14 
14-11-2023, 22 - 23; 89.25 
14-11-2023, 23 - 00; 62.01 
15-11-2023, 00 - 01; 81.10 
15-11-2023, 01 - 02; 76.42 
15-11-2023, 02 - 03; 72.90 
15-11-2023, 03 - 04; 70.69 
15-11-2023, 04 - 05; 74.45 
15-11-2023, 05 - 06; 80.68 
15-11-2023, 06 - 07; 125.46 
15-11-2023, 07 - 08; 122.19 
15-11-2023, 08 - 09; 128.59 
15-11-2023, 09 - 10; 121.29 
15-11-2023, 10 - 11; 112.78 
15-11-2023, 11 - 12; 108.75 
15-11-2023, 12 - 13; 100.10 
15-11-2023, 13 - 14; 135.00 
15-11-2023, 14 - 15; 106.27 
15-11-2023, 15 - 16; 121.21 
15-11-2023, 16 - 17; 122.96 
15-11-2023, 17 - 18; 127.84 
15-11-2023, 18 - 19; 129.90 
15-11-2023, 19 - 20; 121.08 
15-11-2023, 20 - 21; 109.90 
15-11-2023, 21 - 22; 97.50 
15-11-2023, 22 - 23; 91.66 
15-11-2023, 23 - 00; 84.21 
16-11-2023, 00 - 01; 85.46 
16-11-2023, 01 - 02; 83.25 
16-11-2023, 02 - 03; 75.45 
16-11-2023, 03 - 04; 74.68 
16-11-2023, 04 - 05; 81.10 
16-11-2023, 05 - 06; 92.27 
16-11-2023, 06 - 07; 160.10 
16-11-2023, 07 - 08; 165.00 
16-11-2023, 08 - 09; 165.00 
16-11-2023, 09 - 10; 164.99 
16-11-2023, 10 - 11; 164.99 
16-11-2023, 11 - 12; 160.09 
16-11-2023, 12 - 13; 156.86 
16-11-2023, 13 - 14; 131.64 
16-11-2023, 14 - 15; 164.99 
16-11-2023, 15 - 16; 164.99 
16-11-2023, 16 - 17; 194.54 
16-11-2023, 17 - 18; 182.39 
16-11-2023, 18 - 19; 143.93 
16-11-2023, 19 - 20; 122.22 
16-11-2023, 20 - 21; 117.61 
16-11-2023, 21 - 22; 111.26 
16-11-2023, 22 - 23; 106.67 
16-11-2023, 23 - 00; 84.42 
17-11-2023, 00 - 01; 97.10 
17-11-2023, 01 - 02; 92.78 
17-11-2023, 02 - 03; 87.92 
17-11-2023, 03 - 04; 89.26 
17-11-2023, 04 - 05; 92.73 
17-11-2023, 05 - 06; 100.00 
17-11-2023, 06 - 07; 115.09 
17-11-2023, 07 - 08; 127.89 
17-11-2023, 08 - 09; 141.92 
17-11-2023, 09 - 10; 134.75 
17-11-2023, 10 - 11; 127.91 
17-11-2023, 11 - 12; 125.18 
17-11-2023, 12 - 13; 119.50 
17-11-2023, 13 - 14; 112.00 
17-11-2023, 14 - 15; 123.91 
17-11-2023, 15 - 16; 129.99 
17-11-2023, 16 - 17; 137.04 
17-11-2023, 17 - 18; 146.32 
17-11-2023, 18 - 19; 145.26 
17-11-2023, 19 - 20; 136.91 
17-11-2023, 20 - 21; 124.14 
17-11-2023, 21 - 22; 110.48 
17-11-2023, 22 - 23; 96.50 
17-11-2023, 23 - 00; 92.68 
